Files,Scanner Results
adobe-flex-4-sdk.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-adobe-flex-4-sdk [Sc: 100%]
adobe-flex-sdk.license,Adobe-EULA [N]; LicenseRef-scancode-adobe-flex-sdk [Sc: 100%]
adobe-general-tou.license,Non-commercial [N]; LicenseRef-scancode-adobe-general-tou [Sc: 100%]
adobe-glyph.license,Adobe-Glyph [N][M: 95%][Sc: 100%]
adobe-indesign-sdk.license,GPL [N]; LGPL [N]; LicenseRef-scancode-adobe-indesign-sdk [Sc: 100%]
adobe-postscript.license,Adobe [N]; LicenseRef-scancode-adobe-postscript [Sc: 100%]
adobe-scl.license,Adobe-2006 [N][M: 92%][Sc: 100%]
adobe-utopia.license,UnclassifiedLicense [N]; Adobe-Utopia [M: 100%]; LicenseRef-scancode-other-permissive [Sc: 100%]
adrian.license,No_license_found [N]; LicenseRef-scancode-adrian [Sc: 100%]
adsl.license,No_license_found [N]; ADSL [M: 89%][Sc: 100%]
aes-128-3.0.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-aes-128-3.0 [Sc: 100%]
afl-1.1.license,AFL-1.1 [N][M: 100%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; AFL-2.1 [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 100%]
afl-1.2.license,AFL-1.2 [N][M: 100%][Sc: 50%]; AFL-2.1 [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
afl-2.0.license,AFL-2.0 [N][M: 97%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; AFL-2.1 [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 100%]
afl-2.1.license,AFL-2.1 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
afl-3-0-php.license,AFL-3.0 [N][M: 94%][Sc: 100%]
afl-3.0.license,AFL-3.0 [N][M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; AFL-2.1 [Sc: 90%]
afmparse.license,Afmparse [N][M: 92%][Sc: 100%]
afpl-8.0.license,Aladdin [N][M: 100%][Sc: 100%]
afpl-9.0.license,Aladdin [N][M: 79%][Sc: 100%]; LicenseRef-scancode-afpl-9.0 [Sc: 100%]
agentxpp.license,Public-domain [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-agentxpp [Sc: 100%]
agere-bsd.license,BSD-style [N]; BSD-3-Clause-HP [M: 72%]; LicenseRef-scancode-free-unknown [Sc: 50%]; BSD-3-Clause [Sc: 99%]; LicenseRef-scancode-agere-bsd [Sc: 100%]
agere-sla.license,Agere-EULA [N]; Agere [M: 87%]; LicenseRef-scancode-agere-sla [Sc: 100%]
ago-private-1.0.license,Not-for-sale [N]; UnclassifiedLicense [N]; BSD-1-Clause [M: 68%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-ago-private-1.0 [Sc: 100%]
agpl-1.0-plus.license,AGPL-1.0-only [N][M: 100%][Sc: 100%]; AGPL-1.0-or-later [Sc: 50%]; GPL-3.0-or-later [Sc: 50%]; AGPL-3.0-or-later [Sc: 90%]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-agpl-2.0 [Sc: 100%]
agpl-1.0.license,AGPL-1.0-only [N][M: 100%][Sc: 100%]; AGPL-3.0-or-later [Sc: 90%]; LicenseRef-scancode-agpl-2.0 [Sc: 90%]
agpl-2.0.license,AGPL-3.0-or-later [N][Sc: 90%]; LicenseRef-scancode-agpl-2.0 [Sc: 100%]
agpl-3.0-bacula.license,AGPL-3.0-only [N][M: 100%][Sc: 100%]; BSD-2-Clause [N][M: 97%][Sc: 100%]; LGPL [N]; OpenSSL-exception [N]; BSD-2-Clause-Views [M: 80%]; LicenseRef-scancode-bacula-exception [Sc: 100%]; AGPL-3.0-or-later [Sc: 100%]
agpl-3.0-linking-exception.license,AGPL [N]; AGPL-3.0-or-later [Sc: 56%]; LicenseRef-scancode-linking-exception-agpl-3.0 [Sc: 56%]; GPL-3.0-only [Sc: 100%]; AGPL-3.0-only [Sc: 100%]
agpl-3.0-openssl.license,OpenSSL-exception [N]; cryptsetup-OpenSSL-exception [M: 81%]; AGPL-3.0-only [Sc: 100%]; LicenseRef-scancode-openssl-exception-agpl-3.0 [Sc: 100%]
agpl-3.0-plus.license,AGPL-3.0-only [N][M: 99%][Sc: 100%]; LicenseRef-scancode-agpl-2.0 [Sc: 90%]; AGPL-3.0-or-later [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
agpl-3.0.license,AGPL-3.0-only [N][M: 99%][Sc: 100%]; AGPL-3.0-or-later [Sc: 80%]; LicenseRef-scancode-agpl-2.0 [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
agpl-generic-additional-terms.license,AGPL [N]; AGPL-3.0-or-later [Sc: 80%]; AGPL-3.0-only [Sc: 100%]
agpl-v3.license,AGPL-3.0-only [N][M: 96%][Sc: 99%]
agtpl.license,Govt-work [N]; UnclassifiedLicense [N]; BSD-4-Clause-UC [Sc: 58%]; mpich2 [Sc: 82%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
aladdin-md5.license,Aladdin [N]; Zlib [N][M: 98%][Sc: 100%]
alasir.license,Public-domain [N]; LicenseRef-scancode-alasir [Sc: 100%]
aldor-public-2.0.license,BSD-style [N]; BSD-3-Clause [Sc: 56%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
alexisisaac-freeware.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-alexisisaac-freeware [Sc: 100%]
alfresco-exception-0.5.license,Alfresco-FLOSS [N][M: 99%]; Apache-2.0 [N]; CDDL-1.0 [N]; CPL-1.0 [N]; GPL [N]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; NCSA [N]; PHP [N]; W3C [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-alfresco-exception-0.5 [Sc: 100%]
allegro-4.license,Giftware [N][M: 100%][Sc: 50%]
allen-institute-software-2018.license,BSD-2-Clause [N][M: 78%]; LicenseRef-scancode-proprietary-license [Sc: 95%]
alliance-open-media-patent-1.0.license,See-URL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
altermime.license,BSD-3-Clause [N]; Sendmail [M: 85%]; LicenseRef-scancode-altermime [Sc: 100%]
altova-eula.license,Public-domain [N]; LicenseRef-scancode-altova-eula [Sc: 100%]
amazon-redshift-jdbc.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-amazon-redshift-jdbc [Sc: 100%]
amazon-sl.license,UnclassifiedLicense [N]; LicenseRef-.amazon.com.-AmznSL-1.0 [Sc: 100%]
amd-aspf-2023.license,No_license_found [N][Sc]
amd-historical.license,No_license_found [N]; LicenseRef-scancode-amd-historical [Sc: 100%]
amd-linux-firmware-export.license,UnclassifiedLicense [N]; LicenseRef-scancode-amd-linux-firmware-export [Sc: 100%]
amd-linux-firmware.license,No_license_found [N]; LicenseRef-scancode-amd-linux-firmware [Sc: 100%]
amdplpa.license,Restricted-rights [N]; AMDPLPA [M: 98%][Sc: 50%]
aml.license,AML [N][M: 94%][Sc: 100%]; MIT [N]
amlogic-linux-firmware.license,LGPL [N]; LicenseRef-scancode-amlogic-linux-firmware [Sc: 100%]
ampas.license,AMPAS [N][M: 91%][Sc: 100%]; BSD-3-Clause [Sc: 90%]
ams-fonts.license,Public-domain [N]; LicenseRef-scancode-ams-fonts [Sc: 100%]
android-sdk-2009.license,AndroidSDK.Commercial [N]; LicenseRef-scancode-android-sdk-2012 [Sc: 99%]; LicenseRef-scancode-android-sdk-2009 [Sc: 100%]
android-sdk-2012.license,AndroidSDK.Commercial [N]; LicenseRef-scancode-android-sdk-2012 [Sc: 99%]
android-sdk-2021.license,AndroidSDK.Commercial [N]; LicenseRef-scancode-android-sdk-2012 [Sc: 99%]; LicenseRef-scancode-android-sdk-2021 [Sc: 100%]
android-sdk-license.license,AndroidSDK.Commercial [N]; LicenseRef-scancode-android-sdk-2012 [Sc: 99%]; LicenseRef-scancode-android-sdk-license [Sc: 100%]
android-sdk-preview-2015.license,UnclassifiedLicense [N]; LicenseRef-scancode-android-sdk-preview-2015 [Sc: 99%]
anepokis-1.0.license,See-URL [N]; OSL-3.0 [M: 88%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-anepokis-1.0 [Sc: 100%]
anti-capitalist-1.4.license,MIT-style [N]; LicenseRef-scancode-anti-capitalist-1.4 [Sc: 100%]
antlr-pd-fallback.license,ANTLR-PD [N][Sc: 50%]; ANTLR-PD-fallback [M: 98%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]; BSD-3-Clause [Sc: 99%]
antlr-pd.license,ANTLR-PD [N][Sc: 50%]; ANTLR-PD-fallback [M: 75%]; BSD-3-Clause [Sc: 99%]; LicenseRef-scancode-public-domain [Sc: 100%]
anu-license.license,CMU-style [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-anu-license [Sc: 100%]
any-osi.license,See-URL [N]; LicenseRef-scancode-free-unknown [Sc: 100%]
aop-pd.license,CC-PDDC [N][M: 100%][Sc: 92%]; LicenseRef-scancode-public-domain [Sc: 100%]
apache-1.0.license,Apache-1.0 [N][M: 94%][Sc: 100%]; Apache-2.0 [Sc: 95%]
apache-1.1.license,Apache-1.1 [N][M: 81%][Sc: 90%]; Apache-2.0 [Sc: 95%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
apache-2.0-linking-exception.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-compuphase-linking-exception [Sc: 100%]
apache-2.0-runtime-library-exception.license,Apache-2.0 [N][Sc: 100%]; Swift-exception [M: 100%][Sc: 100%]
apache-2.0.license,Apache-2.0 [N][M: 100%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
apache-due-credit.license,BSD-style [N]; Plexus [M: 83%][Sc: 100%]; BSD-3-Clause [Sc: 90%]
apache-exception-llvm.license,Apache-2.0 [N]; GPL-2.0-only [N]; LLVM-exception [N][M: 100%][Sc: 100%]
apache-patent-exception.license,Apache-2.0 [N]; GPL-2.0-only [N]; LGPL-2.0-only [N]; LicenseRef-scancode-apache-patent-exception [Sc: 100%]
apache-patent-provision-exception.license,Apache-2.0 [N]; GPL-2.0-only [N]; LGPL-2.0-only [N]; LicenseRef-scancode-apache-patent-exception [Sc: 100%]
apafml.license,APAFML [N][Sc: 50%]
apl-1.1.license,GPL [N]; DOC [Sc: 100%]; LicenseRef-scancode-apl-1.1 [Sc: 100%]
apl1-0-php.license,APL [N]; APL-1.0 [M: 93%][Sc: 99%]
app-s2p.license,Freeware [N]; App-s2p [M: 100%][Sc: 100%]
appfire-eula.license,Not-for-sale [N]; UnclassifiedLicense [N]; LicenseRef-scancode-appfire-eula [Sc: 100%]
apple-academic-lisa-os-3.1.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
apple-attribution-1997.license,NTP [N]; HPND-Pbmplus [M: 67%]; LicenseRef-scancode-apple-attribution-1997 [Sc: 100%]
apple-attribution.license,UnclassifiedLicense [N]; LicenseRef-scancode-apple-attribution [Sc: 100%]
apple-excl.license,AML [N]; LicenseRef-scancode-apple-excl [Sc: 100%]
apple-mfi-license.license,AML [N]; LicenseRef-scancode-apple-mfi-license [Sc: 100%]
apple-ml-ferret-2023.license,AML [N]; LicenseRef-scancode-apple-excl [Sc: 83%]
apple-mpeg-4.license,UnclassifiedLicense [N]; LicenseRef-scancode-apple-mpeg-4 [Sc: 100%]
apple-runtime-library-exception.license,Apache-2.0 [N][Sc: 100%]; Swift-exception [M: 100%][Sc: 100%]
apple-sscl.license,Apple.Sample [N]; LicenseRef-scancode-apple-sscl [Sc: 100%]
appsflyer-framework.license,UnclassifiedLicense [N]; LicenseRef-scancode-appsflyer-framework [Sc: 100%]
apsl-1.0.license,APSL-1.0 [N][M: 99%][Sc: 100%]
apsl-1.1.license,APSL-1.1 [N][M: 100%][Sc: 100%]; APSL-1.2 [Sc: 100%]
apsl-1.2.license,APSL-1.2 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
apsl-2.0.license,APSL-2.0 [N][M: 98%][Sc: 50%]; APSL-1.2 [Sc: 100%]
aptana-1.0.license,Aptana-1.0 [N][M: 92%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-aptana-1.0 [Sc: 100%]
aptana-exception-3.0.license,MIT [N]; BSD [N]; GPL-3.0-only [N][Sc: 100%]; LGPL-2.0-only [N]; MPL-1.1 [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-aptana-exception-3.0 [Sc: 100%]; LicenseRef-scancode-unknown [Sc: 100%]
arachni-psl-1.0.license,See-URL [N]; LicenseRef-scancode-arachni-psl-1.0 [Sc: 100%]
aravindan-premkumar.license,No_license_found [N]; LicenseRef-scancode-aravindan-premkumar [Sc: 100%]
argouml.license,No_license_found [N]; LicenseRef-scancode-argouml [Sc: 100%]
arm-cortex-mx.license,UnclassifiedLicense [N]; LicenseRef-scancode-arm-cortex-mx [Sc: 100%]
arm-llvm-sga.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-arm-llvm-sga [Sc: 100%]
arphic-public.license,UnclassifiedLicense [N]; Arphic [M: 100%]; Arphic-1999 [Sc: 100%]
array-input-method-pl.license,See-URL [N]; LicenseRef-scancode-array-input-method-pl [Sc: 100%]
artistic-1.0-cl8.license,Artistic-1.0 [N][Sc: 100%]; Artistic-1.0-cl8 [M: 99%][Sc: 55%]
artistic-1.0.license,Artistic-1.0 [N][M: 99%][Sc: 50%]; Artistic-1.0-Perl [Sc: 100%]
artistic-2.0.license,Artistic-2.0 [N][M: 99%][Sc: 50%]; Apache-2.0 [Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 100%]
artistic-clarified.license,ClArtistic [N][M: 100%][Sc: 100%]
artistic-dist-1.0.license,Artistic-1.0 [N][M: 73%]; Artistic-2.0 [Sc: 100%]; LicenseRef-scancode-artistic-1988-1.0 [Sc: 100%]
artistic-perl-1-0-2.license,Artistic-2.0 [N]; Public-domain [N]; Artistic-1.0-cl8 [M: 100%][Sc: 100%]; Artistic-1.0 [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
artistic-perl-1.0.license,Artistic-1.0-Perl [N][M: 100%][Sc: 90%]; Dual-license [N]; GPL-1.0-or-later [N][Sc: 90%]; Public-domain [N]; Artistic-2.0 [Sc: 100%]; Artistic-1.0 [Sc: 100%]; Artistic-1.0-cl8 [Sc: 100%]
asal-1.0.license,See-file [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ascender-eula.license,Non-commercial [N]; Ascender-EULA [M: 98%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ascender-web-fonts.license,No_license_found [N][Sc]
aslp.license,CPL [N]; LicenseRef-scancode-aslp [Sc: 100%]
aslr.license,CPL [N]; EPL [N]; LicenseRef-scancode-aslr [Sc: 100%]
asmus.license,UnclassifiedLicense [N]; LicenseRef-scancode-asmus [Sc: 100%]
asn1.license,No_license_found [N]; LicenseRef-scancode-asn1 [Sc: 100%]
asterisk-exception.license,UnclassifiedLicense [N]; Asterisk-exception [M: 100%]; No_license_found [Sc]
asterisk-linking-protocols-exception.license,GPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; GPL-1.0-or-later [Sc: 100%]
aswf-digital-assets-1.0.license,UnclassifiedLicense [N]; ASWF-Digital-Assets-1.0 [M: 97%]; BSD-2-Clause [Sc: 59%]
aswf-digital-assets-1.1.license,UnclassifiedLicense [N]; ASWF-Digital-Assets-1.1 [M: 97%]; BSD-2-Clause [Sc: 59%]
ati-eula.license,ATI-EULA [N][M: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-ati-eula [Sc: 100%]
atkinson-hyperlegible-font.license,MIT-style [N]; LicenseRef-scancode-atkinson-hyperlegible-font [Sc: 100%]
atlassian-marketplace-tou.license,UnclassifiedLicense [N]; LicenseRef-scancode-atlassian-marketplace-tou [Sc: 100%]
atmel-firmware.license,See-URL [N]; LicenseRef-scancode-atmel-firmware [Sc: 100%]
atmel-linux-firmware.license,No_license_found [N]; LicenseRef-scancode-atmel-linux-firmware [Sc: 100%]
atmel-microcontroller.license,BSD-3-Clause [N][M: 85%]; LicenseRef-scancode-atmel-microcontroller [Sc: 100%]
atmosphere-0.4.license,Apache-2.0 [N]; GPL [N]; LicenseRef-scancode-atmosphere-0.4 [Sc: 100%]
attribution-php.license,AAL [N][M: 91%][Sc: 100%]; LicenseRef-scancode-public-domain-disclaimer [Sc: 100%]
attribution.license,AAL [N][M: 97%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
authorizenet-sdk.license,UnclassifiedLicense [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
autoconf-exception-2.0.license,Autoconf-exception-2.0 [N][M: 100%][Sc: 50%]; GPL-2.0-or-later [N][Sc: 50%]; Autoconf-exception-generic [M: 100%]; Autoconf-exception-3.0 [Sc: 99%]; LicenseRef-scancode-autoconf-simple-exception-2.0 [Sc: 100%]
autoconf-exception-3.0.license,Autoconf-exception-3.0 [N][M: 100%][Sc: 50%]; GPL-3.0-or-later [N][Sc: 100%]; GPL-3.0-only [Sc: 100%]
autoconf-macro-exception.license,Autoconf-exception [N]; Autoconf-exception-macro [M: 99%]; Autoconf-exception-3.0 [Sc: 99%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-autoconf-macro-exception [Sc: 100%]
autoconf-simple-exception-2.0.license,Autoconf-exception [N]; GPL-2.0-only [N][Sc: 100%]; Autoconf-exception-generic [M: 100%]; GPL-1.0-or-later [Sc: 85%]; Autoconf-exception-3.0 [Sc: 99%]; LicenseRef-scancode-autoconf-simple-exception-2.0 [Sc: 100%]
autoconf-simple-exception.license,Autoconf-exception [N]; GPL-3.0-only [N][Sc: 100%]; Autoconf-exception-generic-3.0 [M: 100%]; Autoconf-exception-3.0 [Sc: 99%]; LicenseRef-scancode-autoconf-simple-exception [Sc: 100%]
autodesk-3d-sft-3.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-infineon-free [Sc: 71%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
autoit-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-autoit-eula [Sc: 100%]
autoopts-exception-2.0.license,GPL-2.0-or-later [N][Sc: 50%]; linking-exception [N]; LicenseRef-scancode-autoopts-exception-2.0 [Sc: 100%]
avisynth-c-interface-exception.license,GPL [N]; LicenseRef-scancode-avisynth-c-exception [Sc: 100%]
avisynth-linking-exception.license,GPL [N]; LicenseRef-scancode-avisynth-linking-exception [Sc: 100%]
avsystem-5-clause.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
bacula-exception.license,AGPL-3.0-only [N][Sc: 100%]; OpenSSL-exception [N]; LicenseRef-scancode-bacula-exception [Sc: 100%]
baekmuk-fonts.license,No_license_found [N]; Baekmuk [M: 95%][Sc: 100%]
bahyph.license,Bahyph [N][M: 100%][Sc: 100%]
bakoma-fonts-1995.license,See-URL [N]; LicenseRef-scancode-bakoma-fonts-1995 [Sc: 100%]
bapl-1.0.license,Non-commercial [N]; LicenseRef-scancode-bapl-1.0 [Sc: 100%]
barr-tex.license,Barr [N][M: 100%][Sc: 100%]
bash-exception-gpl.license,GPL-1.0-only [N][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-bash-exception-gpl-2.0 [Sc: 100%]
bcrypt-solar-designer.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 98%]; LicenseRef-scancode-other-permissive [Sc: 98%]
bea-2.1.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-bea-2.1 [Sc: 100%]
beal-screamer.license,UnclassifiedLicense [N]; LicenseRef-scancode-beal-screamer [Sc: 100%]
beerware.license,Beerware [N][M: 100%][Sc: 50%]
beri-hw-sw-1.0.license,Apache-2.0 [N][Sc: 100%]; SHL-0.5 [M: 96%][Sc: 98%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
bigcode-open-rail-m-v1.license,Non-commercial [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 89%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
bigdigits.license,MPL-2.0 [N][Sc: 50%]; LicenseRef-scancode-bigdigits [Sc: 100%]
bigelow-holmes.license,No_license_found [N]; Lucida-Bitmap-Fonts [M: 100%]; LicenseRef-scancode-bigelow-holmes [Sc: 100%]
bigscience-open-rail-m.license,No_license_found [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]
bigscience-rail-1.0.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; LicenseRef-scancode-warranty-disclaimer [Sc: 89%]
binary-linux-firmware-patent.license,See-URL [N]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-binary-linux-firmware-patent [Sc: 100%]
binary-linux-firmware.license,UnclassifiedLicense [N]; BSD-3-Clause [M: 73%]; LicenseRef-scancode-binary-linux-firmware [Sc: 100%]
biopython.license,UnclassifiedLicense [N]; LicenseRef-scancode-biopython [Sc: 100%]
biosl-4.0.license,No_license_found [N][Sc]
bison-exception-2.0.license,Bison-exception [N]; GPL-2.0-or-later [N][Sc: 50%]; LicenseRef-scancode-bison-exception-2.0 [Sc: 100%]
bison-exception-2.2.license,Bison-exception-2.2 [N][Sc: 50%]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0+-with-bison-exception [M: 93%]
bitstream.license,Bitstream [N]; Bitstream-Vera [Sc: 100%]
bittorrent-1.0.license,BitTorrent-1.0 [N][M: 100%][Sc: 50%]; Jabber [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
bittorrent-1.1.license,BitTorrent-1.1 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; BitTorrent-1.0 [Sc: 100%]
bittorrent-1.2.license,BitTorrent [N]; BitTorrent-1.1 [M: 97%]; LicenseRef-scancode-free-unknown [Sc: 50%]; BitTorrent-1.0 [Sc: 100%]; LicenseRef-scancode-bittorrent-1.2 [Sc: 100%]
bittorrent-eula.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-bittorrent-eula [Sc: 100%]
