FileName,SPDXID,LicenseConcluded,LicenseComment,LicenseInfoInFile,FileCopyrightText
ago-private-1.0.license,SPDXRef-item4490,NOASSERTION,,"  
  LicenseRef-fossology-Not-for-sale AND   
  BSD-1-Clause AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-ago-private-1.0 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
agpl-1.0-plus.license,SPDXRef-item2755,NOASSERTION,,"  
  AGPL-1.0-only AND   
  LicenseRef-fossology-AGPL-1.0-or-later AND       
  LicenseRef-scancode-agpl-2.0 AND   
  LicenseRef-fossology-AGPL-3.0-or-later AND   
  GPL-1.0-or-later AND   
  GPL-3.0-or-later",NOASSERTION
agpl-1.0.license,SPDXRef-item2719,NOASSERTION,,"  
  LicenseRef-fossology-AGPL-3.0-or-later AND   
  AGPL-1.0-only AND       
  LicenseRef-scancode-agpl-2.0",NOASSERTION
agpl-2.0.license,SPDXRef-item4036,NOASSERTION,,"      
  LicenseRef-scancode-agpl-2.0 AND   
  LicenseRef-fossology-AGPL-3.0-or-later",NOASSERTION
agpl-3.0-bacula.license,SPDXRef-item5107,NOASSERTION,,"  
  LicenseRef-fossology-AGPL-3.0-or-later AND   
  BSD-2-Clause-Views AND   
  BSD-2-Clause AND   
  LicenseRef-fossology-OpenSSL-exception AND   
  AGPL-3.0-only AND   
  LicenseRef-fossology-LGPL AND       
  LicenseRef-scancode-bacula-exception",NOASSERTION
agpl-3.0-linking-exception.license,SPDXRef-item3661,NOASSERTION,,"  
  LicenseRef-fossology-AGPL AND   
  AGPL-3.0-only AND   
  LicenseRef-fossology-AGPL-3.0-or-later AND   
  GPL-3.0-only AND       
  LicenseRef-scancode-linking-exception-agpl-3.0",NOASSERTION
agpl-3.0-openssl.license,SPDXRef-item3295,NOASSERTION,,"      
  LicenseRef-scancode-openssl-exception-agpl-3.0 AND   
  AGPL-3.0-only AND   
  LicenseRef-fossology-OpenSSL-exception AND   
  cryptsetup-OpenSSL-exception",NOASSERTION
agpl-3.0-plus.license,SPDXRef-item4288,NOASSERTION,,"  
  AGPL-3.0-only AND   
  LicenseRef-fossology-AGPL-3.0-or-later AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-agpl-2.0",NOASSERTION
agpl-3.0.license,SPDXRef-item2969,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-AGPL-3.0-or-later AND       
  LicenseRef-scancode-agpl-2.0 AND   
  AGPL-3.0-only",NOASSERTION
agpl-generic-additional-terms.license,SPDXRef-item3616,NOASSERTION,,"  
  AGPL-3.0-only AND   
  LicenseRef-fossology-AGPL-3.0-or-later AND   
  LicenseRef-fossology-AGPL",NOASSERTION
agpl-v3.license,SPDXRef-item3325,NOASSERTION,,"  
  AGPL-3.0-only",NOASSERTION
agtpl.license,SPDXRef-item4902,NOASSERTION,,"  
  mpich2 AND   
  BSD-4-Clause-UC AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense AND   
  LicenseRef-fossology-Govt-work",NOASSERTION
aladdin-md5.license,SPDXRef-item2788,NOASSERTION,,"  
  Zlib AND   
  Aladdin",NOASSERTION
alasir.license,SPDXRef-item2991,NOASSERTION,,"  
  LicenseRef-fossology-Public-domain AND       
  LicenseRef-scancode-alasir",NOASSERTION
aldor-public-2.0.license,SPDXRef-item4305,NOASSERTION,,"  
  LicenseRef-fossology-BSD-style AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-proprietary-license AND   
  BSD-3-Clause",NOASSERTION
alexisisaac-freeware.license,SPDXRef-item3108,NOASSERTION,,"      
  LicenseRef-scancode-alexisisaac-freeware AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
alfresco-exception-0.5.license,SPDXRef-item3186,NOASSERTION,,"  
  MIT AND   
  CPL-1.0 AND   
  W3C AND   
  LicenseRef-fossology-Alfresco-FLOSS AND   
  LGPL-2.0-only AND   
  LicenseRef-fossology-MPL AND       
  LicenseRef-scancode-unknown-license-reference AND   
  CDDL-1.0 AND   
  LicenseRef-fossology-PHP AND       
  LicenseRef-scancode-alfresco-exception-0.5 AND   
  NCSA AND   
  LicenseRef-fossology-GPL AND   
  Apache-2.0",NOASSERTION
allegro-4.license,SPDXRef-item3950,NOASSERTION,,"  
  Giftware",NOASSERTION
allen-institute-software-2018.license,SPDXRef-item2817,NOASSERTION,,"  
  BSD-2-Clause AND       
  LicenseRef-scancode-proprietary-license",NOASSERTION
alliance-open-media-patent-1.0.license,SPDXRef-item3160,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-See-URL",NOASSERTION
altermime.license,SPDXRef-item4398,NOASSERTION,,"  
  BSD-3-Clause AND   
  Sendmail AND       
  LicenseRef-scancode-altermime",NOASSERTION
altova-eula.license,SPDXRef-item4012,NOASSERTION,,"      
  LicenseRef-scancode-altova-eula AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
amazon-redshift-jdbc.license,SPDXRef-item3972,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-amazon-redshift-jdbc",NOASSERTION
amazon-sl.license,SPDXRef-item3615,NOASSERTION,,"      
  LicenseRef-.amazon.com.-AmznSL-1.0 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
amd-aspf-2023.license,SPDXRef-item4990,NOASSERTION,,NOASSERTION,NOASSERTION
amd-historical.license,SPDXRef-item4932,NOASSERTION,,"      
  LicenseRef-scancode-amd-historical",NOASSERTION
amd-linux-firmware-export.license,SPDXRef-item3765,NOASSERTION,,"      
  LicenseRef-scancode-amd-linux-firmware-export AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
amd-linux-firmware.license,SPDXRef-item4973,NOASSERTION,,"      
  LicenseRef-scancode-amd-linux-firmware",NOASSERTION
amdplpa.license,SPDXRef-item3201,NOASSERTION,,"  
  AMDPLPA AND   
  LicenseRef-fossology-Restricted-rights",NOASSERTION
aml.license,SPDXRef-item4412,NOASSERTION,,"  
  AML AND   
  MIT",NOASSERTION
amlogic-linux-firmware.license,SPDXRef-item4523,NOASSERTION,,"      
  LicenseRef-scancode-amlogic-linux-firmware AND   
  LicenseRef-fossology-LGPL",NOASSERTION
ampas.license,SPDXRef-item2742,NOASSERTION,,"  
  AMPAS AND   
  BSD-3-Clause",NOASSERTION
ams-fonts.license,SPDXRef-item3680,NOASSERTION,,"      
  LicenseRef-scancode-ams-fonts AND   
  LicenseRef-fossology-Public-domain",NOASSERTION
android-sdk-2009.license,SPDXRef-item4026,NOASSERTION,,"      
  LicenseRef-scancode-android-sdk-2009 AND       
  LicenseRef-scancode-android-sdk-2012 AND   
  LicenseRef-fossology-AndroidSDK.Commercial",NOASSERTION
android-sdk-2012.license,SPDXRef-item3440,NOASSERTION,,"      
  LicenseRef-scancode-android-sdk-2012 AND   
  LicenseRef-fossology-AndroidSDK.Commercial",NOASSERTION
android-sdk-2021.license,SPDXRef-item3579,NOASSERTION,,"  
  LicenseRef-fossology-AndroidSDK.Commercial AND       
  LicenseRef-scancode-android-sdk-2021 AND       
  LicenseRef-scancode-android-sdk-2012",NOASSERTION
android-sdk-license.license,SPDXRef-item5081,NOASSERTION,,"      
  LicenseRef-scancode-android-sdk-license AND   
  LicenseRef-fossology-AndroidSDK.Commercial AND       
  LicenseRef-scancode-android-sdk-2012",NOASSERTION
android-sdk-preview-2015.license,SPDXRef-item4785,NOASSERTION,,"      
  LicenseRef-scancode-android-sdk-preview-2015 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
anepokis-1.0.license,SPDXRef-item3658,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-unknown-license-reference AND   
  OSL-3.0 AND       
  LicenseRef-scancode-anepokis-1.0",NOASSERTION
anti-capitalist-1.4.license,SPDXRef-item5173,NOASSERTION,,"  
  LicenseRef-fossology-MIT-style AND       
  LicenseRef-scancode-anti-capitalist-1.4",NOASSERTION
antlr-pd-fallback.license,SPDXRef-item4758,NOASSERTION,,"  
  ANTLR-PD-fallback AND       
  LicenseRef-scancode-public-domain AND   
  BSD-3-Clause AND   
  ANTLR-PD",NOASSERTION
antlr-pd.license,SPDXRef-item4500,NOASSERTION,,"  
  BSD-3-Clause AND   
  ANTLR-PD AND       
  LicenseRef-scancode-public-domain AND   
  ANTLR-PD-fallback",NOASSERTION
anu-license.license,SPDXRef-item4237,NOASSERTION,,"  
  LicenseRef-fossology-CMU-style AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-anu-license",NOASSERTION
any-osi.license,SPDXRef-item4318,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-free-unknown",NOASSERTION
aop-pd.license,SPDXRef-item3260,NOASSERTION,,"      
  LicenseRef-scancode-public-domain AND   
  CC-PDDC",NOASSERTION
apache-1.0.license,SPDXRef-item4211,NOASSERTION,,"  
  Apache-1.0 AND   
  Apache-2.0",NOASSERTION
apache-1.1.license,SPDXRef-item3906,NOASSERTION,,"  
  Apache-2.0 AND   
  Apache-1.1 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
apache-2.0-linking-exception.license,SPDXRef-item5017,NOASSERTION,,"  
  Apache-2.0 AND       
  LicenseRef-scancode-compuphase-linking-exception",NOASSERTION
apache-2.0-runtime-library-exception.license,SPDXRef-item3609,NOASSERTION,,"  
  Swift-exception AND   
  Apache-2.0",NOASSERTION
apache-2.0.license,SPDXRef-item4184,NOASSERTION,,"  
  Apache-2.0 AND       
  LicenseRef-scancode-free-unknown AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
apache-due-credit.license,SPDXRef-item2907,NOASSERTION,,"  
  Plexus AND   
  LicenseRef-fossology-BSD-style AND   
  BSD-3-Clause",NOASSERTION
apache-exception-llvm.license,SPDXRef-item4235,NOASSERTION,,"  
  GPL-2.0-only AND   
  LLVM-exception AND   
  Apache-2.0",NOASSERTION
apache-patent-exception.license,SPDXRef-item4200,NOASSERTION,,"  
  GPL-2.0-only AND   
  LGPL-2.0-only AND   
  Apache-2.0 AND       
  LicenseRef-scancode-apache-patent-exception",NOASSERTION
apache-patent-provision-exception.license,SPDXRef-item4049,NOASSERTION,,"  
  GPL-2.0-only AND   
  Apache-2.0 AND       
  LicenseRef-scancode-apache-patent-exception AND   
  LGPL-2.0-only",NOASSERTION
apafml.license,SPDXRef-item4100,NOASSERTION,,"  
  APAFML",NOASSERTION
apl-1.1.license,SPDXRef-item4385,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND       
  LicenseRef-scancode-apl-1.1 AND   
  DOC",NOASSERTION
apl1-0-php.license,SPDXRef-item5205,NOASSERTION,,"  
  APL-1.0 AND   
  LicenseRef-fossology-APL",NOASSERTION
app-s2p.license,SPDXRef-item3135,NOASSERTION,,"  
  App-s2p AND   
  LicenseRef-fossology-Freeware",NOASSERTION
appfire-eula.license,SPDXRef-item3682,NOASSERTION,,"  
  LicenseRef-fossology-Not-for-sale AND       
  LicenseRef-scancode-appfire-eula AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
apple-academic-lisa-os-3.1.license,SPDXRef-item4609,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-proprietary-license AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
apple-attribution-1997.license,SPDXRef-item4933,NOASSERTION,,"      
  LicenseRef-scancode-apple-attribution-1997 AND   
  NTP AND   
  HPND-Pbmplus",NOASSERTION
apple-attribution.license,SPDXRef-item3637,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-apple-attribution",NOASSERTION
apple-excl.license,SPDXRef-item3836,NOASSERTION,,"  
  AML AND       
  LicenseRef-scancode-apple-excl",NOASSERTION
apple-mfi-license.license,SPDXRef-item2769,NOASSERTION,,"      
  LicenseRef-scancode-apple-mfi-license AND   
  AML",NOASSERTION
apple-ml-ferret-2023.license,SPDXRef-item2801,NOASSERTION,,"      
  LicenseRef-scancode-apple-excl AND   
  AML",NOASSERTION
apple-mpeg-4.license,SPDXRef-item5223,NOASSERTION,,"      
  LicenseRef-scancode-apple-mpeg-4 AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
apple-runtime-library-exception.license,SPDXRef-item3343,NOASSERTION,,"  
  Swift-exception AND   
  Apache-2.0",NOASSERTION
apple-sscl.license,SPDXRef-item3994,NOASSERTION,,"  
  LicenseRef-fossology-Apple.Sample AND       
  LicenseRef-scancode-apple-sscl",NOASSERTION
appsflyer-framework.license,SPDXRef-item4734,NOASSERTION,,"      
  LicenseRef-scancode-appsflyer-framework AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
apsl-1.0.license,SPDXRef-item4768,NOASSERTION,,"  
  APSL-1.0",NOASSERTION
apsl-1.1.license,SPDXRef-item4178,NOASSERTION,,"  
  APSL-1.1 AND   
  APSL-1.2",NOASSERTION
apsl-1.2.license,SPDXRef-item3344,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  APSL-1.2",NOASSERTION
apsl-2.0.license,SPDXRef-item3308,NOASSERTION,,"  
  APSL-2.0 AND   
  APSL-1.2",NOASSERTION
aptana-1.0.license,SPDXRef-item4701,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-aptana-1.0 AND   
  LicenseRef-fossology-Aptana-1.0",NOASSERTION
aptana-exception-3.0.license,SPDXRef-item3641,NOASSERTION,,"  
  MIT AND   
  LicenseRef-fossology-BSD AND   
  LGPL-2.0-only AND   
  GPL-3.0-only AND       
  LicenseRef-scancode-unknown AND   
  GPL-1.0-or-later AND       
  LicenseRef-scancode-aptana-exception-3.0 AND   
  MPL-1.1",NOASSERTION
arachni-psl-1.0.license,SPDXRef-item2938,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-arachni-psl-1.0",NOASSERTION
aravindan-premkumar.license,SPDXRef-item4527,NOASSERTION,,"      
  LicenseRef-scancode-aravindan-premkumar",NOASSERTION
argouml.license,SPDXRef-item3932,NOASSERTION,,"      
  LicenseRef-scancode-argouml",NOASSERTION
arm-cortex-mx.license,SPDXRef-item2866,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-arm-cortex-mx",NOASSERTION
arm-llvm-sga.license,SPDXRef-item4610,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-arm-llvm-sga",NOASSERTION
arphic-public.license,SPDXRef-item2693,NOASSERTION,,"  
  LicenseRef-fossology-Arphic AND   
  LicenseRef-fossology-UnclassifiedLicense AND   
  Arphic-1999",NOASSERTION
array-input-method-pl.license,SPDXRef-item3223,NOASSERTION,,"  
  LicenseRef-fossology-See-URL AND       
  LicenseRef-scancode-array-input-method-pl",NOASSERTION
artistic-1.0-cl8.license,SPDXRef-item3973,NOASSERTION,,"  
  Artistic-1.0 AND   
  Artistic-1.0-cl8",NOASSERTION
artistic-1.0.license,SPDXRef-item4290,NOASSERTION,,"  
  Artistic-1.0 AND   
  Artistic-1.0-Perl",NOASSERTION
artistic-2.0.license,SPDXRef-item5135,NOASSERTION,,"      
  LicenseRef-scancode-free-unknown AND   
  Artistic-2.0 AND   
  Apache-2.0",NOASSERTION
artistic-clarified.license,SPDXRef-item4884,NOASSERTION,,"  
  ClArtistic",NOASSERTION
artistic-dist-1.0.license,SPDXRef-item4341,NOASSERTION,,"      
  LicenseRef-scancode-artistic-1988-1.0 AND   
  Artistic-2.0 AND   
  Artistic-1.0",NOASSERTION
artistic-perl-1-0-2.license,SPDXRef-item3759,NOASSERTION,,"  
  Artistic-2.0 AND   
  LicenseRef-fossology-Public-domain AND       
  LicenseRef-scancode-unknown-license-reference AND   
  Artistic-1.0 AND   
  Artistic-1.0-cl8",NOASSERTION
artistic-perl-1.0.license,SPDXRef-item4473,NOASSERTION,,"  
  Artistic-1.0 AND   
  Artistic-2.0 AND   
  Artistic-1.0-Perl AND   
  LicenseRef-fossology-Public-domain AND   
  GPL-1.0-or-later AND   
  Artistic-1.0-cl8 AND   
  LicenseRef-fossology-Dual-license",NOASSERTION
asal-1.0.license,SPDXRef-item3922,NOASSERTION,,"  
  LicenseRef-fossology-See-file AND       
  LicenseRef-scancode-proprietary-license AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
ascender-eula.license,SPDXRef-item2640,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-proprietary-license AND   
  LicenseRef-fossology-Non-commercial AND   
  LicenseRef-fossology-Ascender-EULA",NOASSERTION
ascender-web-fonts.license,SPDXRef-item3821,NOASSERTION,,NOASSERTION,NOASSERTION
aslp.license,SPDXRef-item3244,NOASSERTION,,"      
  LicenseRef-scancode-aslp AND   
  LicenseRef-fossology-CPL",NOASSERTION
aslr.license,SPDXRef-item3760,NOASSERTION,,"      
  LicenseRef-scancode-aslr AND   
  LicenseRef-fossology-EPL AND   
  LicenseRef-fossology-CPL",NOASSERTION
asmus.license,SPDXRef-item4649,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-asmus",NOASSERTION
asn1.license,SPDXRef-item4247,NOASSERTION,,"      
  LicenseRef-scancode-asn1",NOASSERTION
asterisk-exception.license,SPDXRef-item3700,NOASSERTION,,"  
  LicenseRef-fossology-UnclassifiedLicense AND   
  Asterisk-exception",NOASSERTION
asterisk-linking-protocols-exception.license,SPDXRef-item4387,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND       
  LicenseRef-scancode-unknown-license-reference AND   
  GPL-1.0-or-later",NOASSERTION
